Ora;Temperatura;Umidità
01:50:00;28,6;44,1
01:55:00;28,6;42,2
02:00:00;28,5;40,9
02:05:00;28,5;41
02:10:00;28,6;40,6
02:15:00;28,4;39,2
02:20:00;28,4;39,2
02:25:00;28,3;39,8
02:30:00;28,4;39,7
02:35:00;28,5;39,3
02:40:00;28,3;39,4
02:45:00;28,4;39
02:50:00;28,3;38,8
02:55:00;28,2;38,8
03:00:00;28,1;38,5
03:05:00;28,2;38,1
03:10:00;28,2;37,7
03:15:00;28,2;37,1
03:20:00;28;36,9
03:25:00;28,1;36,9
03:30:00;28,1;36,8
03:35:00;28,1;36,2
03:40:00;27,5;38,9
03:45:00;27,8;36,7
03:50:00;28;36
03:55:00;27,9;35,6
04:00:00;28,1;35,5
04:05:00;28;35,2
04:10:00;28;36,4
04:15:00;28;36,6
04:20:00;28;35,4
04:25:00;28,1;35
04:30:00;27,9;35,2
04:35:00;28;34,5
04:40:00;27,9;34,7
04:45:00;27,8;34,8
04:50:00;27,8;34,8
04:55:00;27,8;34,7
05:00:00;27,8;34,6
05:05:00;27,7;34,6
05:10:00;27,7;34,4
05:15:00;27,7;35,1
05:20:00;27,7;35,7
05:25:00;27,7;35,2
05:30:00;27,7;35,2
05:35:00;27,6;35
05:40:00;27,6;35,7
05:45:00;27,6;35,6
05:50:00;27,5;36
05:55:00;27,6;35,4
06:00:00;27,5;35,4
06:05:00;27,6;35,5
06:10:00;27,4;36,2
06:15:00;27,6;36,2
06:20:00;27,4;36,4
06:25:00;27,4;36,8
06:30:00;27,6;36,9
06:35:00;27,7;36,5
06:40:00;27,6;36,9
06:45:00;27,5;37,3
06:50:00;27,5;37,8
06:55:00;27,7;37,8
07:00:00;27,6;39,1
07:05:00;27,7;39,3
07:10:00;27,7;39,6
07:15:00;27,9;39,8
07:20:00;27,7;40,4
07:25:00;27,9;39,7
07:30:00;27,6;40,3
07:35:00;27,7;40,8
07:40:00;27,6;41,6
07:45:00;27,7;41,4
07:50:00;27,8;41,2
07:55:00;27,9;41,3
08:00:00;28;41,6
08:05:00;28;41,8
08:10:00;28;42,8
08:15:00;28,1;43,4
08:20:00;28,2;43,2
08:25:00;28,1;43
08:30:00;27,8;43,5
08:35:00;27,9;43,5
08:40:00;27,8;43,6
08:45:00;27,7;43,7
08:50:00;28;43,6
08:55:00;27,8;43,7
09:00:00;28;43,6
09:05:00;28;43,6
09:10:00;28,1;43,5
09:15:00;28,1;43,6
09:20:00;28,1;43,6
09:25:00;28,1;43,5
09:30:00;28,1;43,7
09:35:00;28,2;43,1
09:40:00;28,2;42,8
09:45:00;28,2;42,7
09:50:00;28,2;42,9
09:55:00;28,2;43,1
10:00:00;28,1;43,4
10:05:00;28,1;44,7
10:10:00;28,1;45,8
10:15:00;28,3;45,7
10:20:00;28,3;45,4
10:25:00;28,3;45,2
10:30:00;28,4;44,9
10:35:00;28,4;44,4
10:40:00;28,5;44,7
10:45:00;28,4;44,8
10:50:00;28,4;45,9
10:55:00;28,6;45,7
11:00:00;28,6;45,1
11:05:00;28,7;45,7
11:10:00;;
